dimension: 10
max non-zeros: 18
min non-zeros: 1
avg non-zeros: 2
we have 190 chains
171 are fixed
19 are free
90 have radius zero
   81 of these are fixed
   9 of these are free
100 have radius non-zero
   90 of these are fixed
   10 of these are free

sqr=2.006e+04  alp=1.131e-09  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=9.046e-10  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=7.237e-10  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=5.79e-10  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=4.632e-10  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=3.705e-10  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.964e-10  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.371e-10  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.897e-10  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.518e-10  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.214e-10  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=9.713e-11  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=7.771e-11  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=6.217e-11  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=4.973e-11  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=3.979e-11  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=3.183e-11  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.546e-11  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.037e-11  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.63e-11  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.304e-11  con= 0 / 0  190 19 190     
